Make,Model,Year,Engine_Fuel_Type,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Number_of_Doors,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP
Chevrolet,Silverado 1500,2016,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,22,17,1385,36980
Kia,Spectra,2007,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,32,23,1720,15895
Chevrolet,Venture,2004,regular unleaded,185.0,6.0,AUTOMATIC,front wheel drive,4.0,,Compact,Passenger Minivan,24,17,1385,21475
Chevrolet,HHR,2009,premium unleaded (recommended),260.0,4.0,MANUAL,front wheel drive,4.0,"Factory Tuner,Performance",Compact,Wagon,29,21,1385,25135
Ferrari,575M,2003,premium unleaded (required),515.0,12.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,15,9,2774,217890
Ford,F-150,2015,flex-fuel (unleaded/E85),385.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,21,15,5657,41840
Nissan,Murano,2016,regular unleaded,260.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,28,21,2009,39180
Audi,A5,2016,premium unleaded (required),220.0,4.0,MANUAL,all wheel drive,2.0,Luxury,Midsize,Coupe,32,22,3105,40500
Audi,Q3,2015,premium unleaded (recommended),200.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,28,20,3105,38500
Toyota,Matrix,2012,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,32,26,2031,18845
Volvo,XC60,2015,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,31,24,870,38850
Ford,Transit Connect,2016,regular unleaded,169.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Passenger Minivan,28,20,5657,29300
Ford,F-150,2015,flex-fuel (unleaded/E85),385.0,8.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,22,15,5657,51585
BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,33,23,3916,42950
Chrysler,300,2015,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,,Large,Sedan,27,18,1013,37570
Lexus,LS 460,2015,premium unleaded (required),360.0,8.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,23,16,454,75465
Buick,Encore,2015,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,33,25,155,24065
Suzuki,XL-7,2005,regular unleaded,185.0,6.0,MANUAL,rear wheel drive,4.0,,Midsize,4dr SUV,20,15,481,20399
Volkswagen,Jetta,2015,premium unleaded (recommended),210.0,4.0,AUTOMATIC,front wheel drive,4.0,"Factory Tuner,Performance",Midsize,Sedan,32,24,873,28020
Ford,Freestyle,2005,regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Large,Wagon,22,17,5657,28240
Toyota,Corolla,2015,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,40,30,2031,22725
Volkswagen,Beetle Convertible,2014,regular unleaded,170.0,5.0,AUTOMATIC,front wheel drive,2.0,,Compact,Convertible,27,21,873,29395
Toyota,Celica,2004,regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,33,25,2031,18370
Honda,Accord,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,,Midsize,Coupe,35,26,2202,24625
Toyota,Tercel,1996,regular unleaded,93.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,35,27,2031,2000
Honda,CR-V,2014,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,31,23,2202,27870
HUMMER,H3T,2010,regular unleaded,239.0,5.0,MANUAL,four wheel drive,4.0,"Crossover,Flex Fuel,Luxury",Compact,Crew Cab Pickup,18,14,130,30915
BMW,X4,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,28,20,3916,44700
Dodge,Ram Pickup 1500,2008,regular unleaded,310.0,8.0,MANUAL,four wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,16,12,1851,29055
Mazda,Tribute,2009,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,26,18,586,25885
Volkswagen,Phaeton,2005,premium unleaded (recommended),335.0,8.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,21,14,873,66950
GMC,Envoy XL,2004,regular unleaded,275.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Large,4dr SUV,18,13,549,31320
Volkswagen,EuroVan,2001,premium unleaded (required),201.0,6.0,AUTOMATIC,front wheel drive,3.0,,Large,Passenger Minivan,18,15,873,27700
Volkswagen,Jetta,2015,regular unleaded,115.0,4.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,34,25,873,17325
Mitsubishi,Mirage,2014,regular unleaded,74.0,3.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,42,34,436,12995
Suzuki,Sidekick,1998,regular unleaded,120.0,4.0,MANUAL,four wheel drive,4.0,,Compact,4dr SUV,23,20,481,2125
Dodge,Ram Cargo,2003,regular unleaded,175.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Midsize,Cargo Van,15,13,1851,20080
Dodge,Journey,2016,regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,26,19,1851,20995
Nissan,Cube,2014,regular unleaded,122.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,30,25,2009,16900
Suzuki,Equator,2010,regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Crew Cab Pickup,20,15,481,24775
Mercedes-Benz,CLS-Class,2015,premium unleaded (required),329.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,28,20,617,68490
Hyundai,Excel,1994,regular unleaded,81.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,33,24,1439,2000
Ford,Expedition,2017,regular unleaded,365.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Large,4dr SUV,20,15,5657,65957
Honda,Civic,2015,regular unleaded,110.0,4.0,AUTOMATIC,front wheel drive,4.0,Hybrid,Compact,Sedan,47,44,2202,25935
Hyundai,Elantra,2017,regular unleaded,201.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,,Compact,Sedan,33,26,1439,22750
Dodge,Journey,2016,regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,26,19,1851,24895
Audi,Q3,2016,premium unleaded (recommended),200.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,28,20,3105,35800
GMC,Rally Wagon,1995,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Compact,Passenger Van,15,13,549,2000
Lincoln,MKX,2016,regular unleaded,303.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,26,17,61,44045
Volkswagen,Passat,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,38,25,873,34270
Ford,Flex,2015,regular unleaded,287.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Large,Wagon,25,18,5657,32100
Volkswagen,Fox,1991,regular unleaded,81.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,30,22,873,2000
Saab,9-4X,2011,premium unleaded (required),265.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,23,17,376,40245
Mazda,3,2015,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,40,30,586,19995
Buick,Lucerne,2010,premium unleaded (recommended),292.0,8.0,AUTOMATIC,front wheel drive,4.0,Performance,Large,Sedan,22,15,155,42515
Cadillac,SRX,2014,regular unleaded,308.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,23,16,1624,50955
Honda,Civic,2015,regular unleaded,143.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Coupe,38,29,2202,24140
Ford,Edge,2016,premium unleaded (recommended),245.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,30,20,5657,31790
Chevrolet,C/K 1500 Series,1998,regular unleaded,230.0,8.0,MANUAL,four wheel drive,2.0,,Large,Extended Cab Pickup,17,12,1385,3676
Volkswagen,Golf,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,36,25,873,22395
Volvo,XC60,2015,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,31,24,870,42850
Ford,F-150,2015,flex-fuel (unleaded/E85),385.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,21,15,5657,46140
Cadillac,Catera,2000,regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,23,16,1624,2103
BMW,6 Series,2015,premium unleaded (required),315.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Midsize,Coupe,32,21,3916,76100
Lincoln,MKC,2017,regular unleaded,240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,25,19,61,38125
Chevrolet,Colorado,2015,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,24,17,1385,34415
GMC,Yukon XL,2017,flex-fuel (unleaded/E85),355.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Flex Fuel,Performance",Large,4dr SUV,23,16,549,51230
Toyota,Tundra,2015,regular unleaded,310.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Extended Cab Pickup,18,14,2031,31560
Toyota,Tercel,1997,regular unleaded,93.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,35,28,2031,2012
Dodge,Ram Pickup 1500,2008,regular unleaded,345.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,Crew Cab Pickup,19,13,1851,38100
Volkswagen,New Beetle,2009,regular unleaded,150.0,5.0,MANUAL,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,28,20,873,18290
Dodge,Intrepid,2002,regular unleaded,234.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Sedan,24,16,1851,22970
Dodge,Ram Pickup 1500,2009,flex-fuel (unleaded/E85),310.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,18,13,1851,32945
Maybach,57,2011,premium unleaded (required),620.0,12.0,AUTOMATIC,rear wheel drive,4.0,"Exotic,Luxury,High-Performance",Large,Sedan,16,10,67,412000
Chevrolet,Suburban,2017,flex-fuel (unleaded/E85),355.0,8.0,AUTOMATIC,four wheel drive,4.0,"Flex Fuel,Performance",Large,4dr SUV,22,15,1385,58045
Honda,Civic,2016,regular unleaded,174.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,42,31,2202,22200
BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916,44450
Kia,Rio,2015,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,37,27,1720,16990
Mazda,CX-3,2016,regular unleaded,146.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,35,29,586,21960
Hyundai,Scoupe,1995,regular unleaded,92.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,33,24,1439,2000
Mazda,B-Series Pickup,1999,flex-fuel (unleaded/E85),150.0,6.0,MANUAL,rear wheel drive,4.0,Flex Fuel,Compact,Extended Cab Pickup,21,16,586,2946
Chevrolet,Trax,2017,regular unleaded,138.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,30,24,1385,24400
Audi,Q7,2015,premium unleaded (required),280.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Large,4dr SUV,22,16,3105,54800
BMW,X5,2017,diesel,255.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Diesel",Midsize,4dr SUV,30,23,3916,59300
Cadillac,ATS Coupe,2015,flex-fuel (unleaded/E85),321.0,6.0,AUTOMATIC,all wheel drive,2.0,"Flex Fuel,Luxury,High-Performance",Compact,Coupe,26,18,1624,51435
Subaru,Impreza,2016,regular unleaded,148.0,4.0,AUTOMATIC,all wheel drive,4.0,,Compact,Sedan,37,28,640,21095
GMC,Yukon,2016,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4.0,Performance,Large,4dr SUV,22,15,549,65325
Dodge,RAM 150,1991,regular unleaded,125.0,6.0,UNKNOWN,rear wheel drive,2.0,,Large,Regular Cab Pickup,17,12,1851,2000
Saab,9-2X,2006,regular unleaded,173.0,4.0,MANUAL,all wheel drive,4.0,Luxury,Compact,Wagon,26,19,376,22990
Nissan,Frontier,2015,regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,,Compact,Extended Cab Pickup,21,16,2009,27240
Volkswagen,Beetle Convertible,2014,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2.0,Performance,Compact,Convertible,31,23,873,29395
Nissan,Sentra,2015,regular unleaded,130.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,39,30,2009,18350
Volvo,940,1994,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,24,17,870,2000
Chevrolet,Colorado,2015,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Crew Cab Pickup,27,20,1385,29550
GMC,Sierra 1500,2016,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,22,17,549,40915
Dodge,Challenger,2015,regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Performance,Large,Coupe,23,15,1851,35795
Dodge,Daytona,1992,regular unleaded,141.0,6.0,MANUAL,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,26,17,1851,2000
Audi,Q5,2017,premium unleaded (required),272.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,26,18,3105,46400
Nissan,Stanza,1992,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,26,19,2009,2000
Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Large,Sedan,31,19,1013,38555
Infiniti,QX4,2002,premium unleaded (required),240.0,6.0,AUTOMATIC,four wheel drive,4.0,Luxury,Midsize,4dr SUV,17,13,190,35550
Oldsmobile,Achieva,1996,regular unleaded,150.0,4.0,MANUAL,front wheel drive,2.0,,Midsize,Coupe,30,20,26,2000
Chevrolet,Cruze,2016,regular unleaded,153.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,42,30,1385,23120
Ford,Fiesta,2016,regular unleaded,120.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,27,5657,18830
Chevrolet,C/K 1500 Series,1997,regular unleaded,200.0,6.0,MANUAL,rear wheel drive,2.0,,Large,Extended Cab Pickup,20,15,1385,2517
Dodge,Durango,2015,regular unleaded,290.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Large,4dr SUV,24,17,1851,39495
BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916,48750
Chevrolet,Silverado 1500,2015,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,24,18,1385,31940
Volvo,S40,2010,premium unleaded (recommended),227.0,5.0,AUTOMATIC,front wheel drive,4.0,"Luxury,Performance",Compact,Sedan,30,21,870,31150
BMW,X4,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,28,20,3916,45250
Ford,Edge,2015,premium unleaded (recommended),245.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,28,20,5657,33495
Mitsubishi,Diamante,2003,premium unleaded (required),210.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,23,16,436,27097
BMW,Z3,2002,premium unleaded (required),225.0,6.0,MANUAL,rear wheel drive,2.0,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,26,19,3916,37700
Cadillac,ATS Coupe,2016,premium unleaded (recommended),272.0,4.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,31,22,1624,41920
Toyota,Tundra,2015,regular unleaded,381.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Extended Cab Pickup,17,13,2031,34710
Suzuki,XL7,2008,regular unleaded,252.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,22,16,481,26599
Honda,Pilot,2015,regular unleaded,250.0,6.0,AUTOMATIC,four wheel drive,4.0,Crossover,Midsize,4dr SUV,24,17,2202,38970
Dodge,Dakota,2008,regular unleaded,302.0,8.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,18,14,1851,32135
Volkswagen,Beetle,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,33,25,873,21795
Suzuki,X-90,1997,regular unleaded,95.0,4.0,MANUAL,rear wheel drive,2.0,,Compact,2dr SUV,26,22,481,2000
Aston Martin,V12 Vantage,2012,premium unleaded (required),510.0,12.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,17,11,259,195895
Chrysler,Sebring,2008,regular unleaded,235.0,6.0,AUTOMATIC,front wheel drive,2.0,,Midsize,Convertible,26,16,1013,32715
Hyundai,Genesis Coupe,2016,premium unleaded (recommended),348.0,6.0,AUTOMATIC,rear wheel drive,2.0,High-Performance,Midsize,Coupe,25,16,1439,34950
Volkswagen,Beetle,2017,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,33,24,873,22450
Hyundai,Veloster,2014,regular unleaded,132.0,4.0,AUTOMATED_MANUAL,front wheel drive,3.0,Hatchback,Compact,2dr Hatchback,36,28,1439,21650
Infiniti,G37,2009,premium unleaded (required),328.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,25,18,190,35750
Suzuki,Forenza,2007,regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,28,20,481,13999
Land Rover,Discovery Series II,2000,regular unleaded,188.0,8.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,4dr SUV,16,12,258,2561
Land Rover,LR3,2008,premium unleaded (required),300.0,8.0,AUTOMATIC,four wheel drive,4.0,Luxury,Midsize,4dr SUV,17,12,258,48525
Cadillac,ATS Coupe,2016,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,30,22,1624,48715
Land Rover,Range Rover Evoque,2015,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,30,21,258,56600
Mercedes-Benz,600-Class,1992,regular unleaded,402.0,12.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,14,10,617,2960
Lexus,LS 460,2017,premium unleaded (required),386.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Large,Sedan,24,16,454,78820
Nissan,Murano,2017,regular unleaded,260.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,28,21,2009,31340
Chevrolet,Sonic,2015,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,34,27,1385,19945
Chevrolet,TrailBlazer EXT,2005,regular unleaded,275.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Large,4dr SUV,18,13,1385,28085
Audi,A4,2017,premium unleaded (recommended),252.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,24,3105,39400
Saab,900,1997,regular unleaded,170.0,6.0,AUTOMATIC,front wheel drive,4.0,"Hatchback,Luxury",Compact,4dr Hatchback,23,17,376,2000
Oldsmobile,Cutlass Calais,1991,regular unleaded,110.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,31,19,26,2000
Audi,Q7,2017,premium unleaded (required),333.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Performance",Large,4dr SUV,25,19,3105,54800
Nissan,Juke,2017,premium unleaded (required),211.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Hatchback,Factory Tuner,Performance",Compact,4dr Hatchback,29,25,2009,30020
Chevrolet,C/K 1500 Series,1999,regular unleaded,230.0,8.0,AUTOMATIC,four wheel drive,3.0,,Large,Extended Cab Pickup,17,13,1385,4098
Honda,Prelude,2001,premium unleaded (required),195.0,4.0,AUTOMATIC,front wheel drive,2.0,Performance,Compact,Coupe,24,19,2202,24600
Cadillac,CT6,2017,regular unleaded,335.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,27,18,1624,55495
Bentley,Continental Supersports,2012,flex-fuel (premium unleaded required/E85),621.0,12.0,AUTOMATIC,all wheel drive,2.0,"Exotic,Flex Fuel,Factory Tuner,Luxury,High-Performance",Midsize,Coupe,19,12,520,267000
Volkswagen,Jetta GLI,2013,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,32,24,873,29525
Nissan,Sentra,2017,regular unleaded,124.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,37,29,2009,18790
Dodge,Ram 50 Pickup,1992,regular unleaded,116.0,4.0,MANUAL,rear wheel drive,2.0,,Compact,Regular Cab Pickup,22,17,1851,2000
Chevrolet,C/K 1500 Series,1997,regular unleaded,200.0,6.0,MANUAL,four wheel drive,2.0,,Large,Extended Cab Pickup,18,14,1385,3046
Chevrolet,Tracker,2002,regular unleaded,155.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,4dr SUV,19,16,1385,21935
Dodge,Journey,2016,flex-fuel (unleaded/E85),283.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Flex Fuel",Midsize,4dr SUV,25,17,1851,31795
Toyota,Sienna,2015,regular unleaded,266.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Passenger Minivan,25,18,2031,37445
Chevrolet,Silverado 1500,2017,regular unleaded,355.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,Crew Cab Pickup,22,16,1385,51650
Ford,Ranger,2010,regular unleaded,207.0,6.0,MANUAL,rear wheel drive,4.0,,Compact,Extended Cab Pickup,21,15,5657,22485
Acura,ILX,2017,premium unleaded (recommended),201.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Luxury,Compact,Sedan,35,25,204,29990
BMW,1 Series,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,36350
Lexus,IS 250,2014,premium unleaded (required),204.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,30,21,454,36100
Porsche,Cayenne,2015,premium unleaded (required),420.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Performance",Midsize,4dr SUV,24,17,1715,74100
Ford,Edge,2016,premium unleaded (recommended),245.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,28,20,5657,33785
Subaru,B9 Tribeca,2007,premium unleaded (required),245.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,21,16,640,33495
Suzuki,SX4,2011,regular unleaded,150.0,4.0,MANUAL,all wheel drive,4.0,"Crossover,Hatchback",Compact,4dr Hatchback,30,22,481,16999
Toyota,RAV4,2015,regular unleaded,176.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,31,24,2031,23680
Volkswagen,Jetta SportWagen,2013,diesel,140.0,4.0,MANUAL,front wheel drive,4.0,Diesel,Compact,Wagon,42,30,873,25795
Mercedes-Benz,500-Class,1991,regular unleaded,322.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,17,13,617,4155
Chevrolet,Tahoe,2016,flex-fuel (unleaded/E85),355.0,8.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,4dr SUV,23,16,1385,52030
Ford,Taurus,2017,premium unleaded (recommended),365.0,6.0,AUTOMATIC,all wheel drive,4.0,"Factory Tuner,High-Performance",Large,Sedan,24,16,5657,42520
Lexus,LS 430,2004,premium unleaded (required),290.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Large,Sedan,23,16,454,55375
Mitsubishi,Montero Sport,2002,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,29627
Chevrolet,TrailBlazer,2007,regular unleaded,291.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,20,14,1385,30210
Pontiac,Sunfire,2003,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,30,22,210,14930
Honda,Crosstour,2015,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Hatchback",Midsize,4dr Hatchback,30,20,2202,35940
Ford,Transit Wagon,2017,regular unleaded,275.0,6.0,AUTOMATIC,rear wheel drive,3.0,Diesel,Midsize,Passenger Van,19,14,5657,39460
Kia,K900,2015,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,23,15,1720,59900
BMW,7 Series,2016,premium unleaded (required),445.0,8.0,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,25,16,3916,97400
Mazda,CX-9,2015,regular unleaded,273.0,6.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Performance",Large,4dr SUV,24,17,586,35035
Porsche,Carrera GT,2004,premium unleaded (required),605.0,10.0,MANUAL,rear wheel drive,2.0,"Exotic,Luxury,High-Performance",Compact,Convertible,15,9,1715,440000
Lexus,IS F,2013,premium unleaded (required),416.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,23,16,454,61750
Mitsubishi,Lancer Sportback,2014,regular unleaded,148.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,32,24,436,18595
Chevrolet,Colorado,2016,regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,,Compact,Extended Cab Pickup,25,19,1385,30030
Land Rover,Range Rover Evoque,2017,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Compact,4dr SUV,29,21,258,41800
